#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,efg%,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,didWin_sum,Previous School,clean_name,ImageURL
3,Bella Green,Pepperdine Waves,G,6-0,Gr.,"Perth, Australia",FreeAgent,218.0,12.82,43.0,67.0,17.0,13.35,5.35,0.487,5.06,0.59,0.47,0.18,0.12,0.41,0.88,1.71,2.18,4.59,24.0,1.41,62.0,3.65,227.0,91.0,86.0,10.0,8.0,3.0,29.0,37.0,78.0,2.0,7.0,15.0,19.0,1.12,10.0,University of West Florida,bella green,https://daitadul56i2n.cloudfront.net/images/2025/9/26/3_green.jpg?width=80&quality=90
10,Ilinca Belegante,Pepperdine Waves,G,6-0,Fr.,"Bucharest, Romania",FreeAgent,1.0,0.14,89.5,146.5,7.0,2.0,0.71,0.375,0.0,0.0,0.0,0.0,0.14,0.57,0.29,0.29,0.14,0.57,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,0.43,5.0,,ilinca belegante,https://daitadul56i2n.cloudfront.net/images/2025/9/26/10_Ilinca.jpg?width=80&quality=90
11,Quinn VanSickle,Pepperdine Waves,G,5-8,Fr.,"Castle Rock, CO",FreeAgent,6.0,2.0,87.0,144.0,3.0,7.33,2.0,0.429,1.0,0.33,0.0,0.0,0.67,2.0,0.0,0.67,0.67,2.33,1.0,0.33,2.0,0.67,22.0,6.0,3.0,1.0,0.0,0.0,2.0,2.0,7.0,2.0,6.0,0.0,0.0,0.0,2.0,,quinn vansickle,https://daitadul56i2n.cloudfront.net/images/2025/9/26/11_quinn.jpg?width=80&quality=90
12,Shorna Preston,Pepperdine Waves,F,6-1,Jr.,"Christchurch, New Zealand",UserTeam4,573.0,33.71,3.0,7.0,17.0,24.88,9.41,0.535,10.0,2.47,1.12,1.71,0.71,2.18,1.41,2.71,3.65,7.47,32.0,1.88,138.0,8.12,423.0,160.0,170.0,42.0,19.0,29.0,46.0,62.0,127.0,12.0,37.0,24.0,35.0,2.06,10.0,Dodge City Community College,shorna preston,https://daitadul56i2n.cloudfront.net/images/2025/9/26/12_Shorna.jpg?width=80&quality=90
13,Meghan Fiso,Pepperdine Waves,G,5-10,Gr.,"Seattle, WA",UserTeam1,441.0,25.94,13.0,21.0,17.0,28.53,11.35,0.485,5.47,2.0,0.71,0.35,0.59,1.76,1.71,1.88,4.53,9.94,12.0,0.71,81.0,4.76,485.0,193.0,93.0,34.0,12.0,6.0,32.0,77.0,169.0,10.0,30.0,29.0,40.0,2.35,10.0,San Diego State,meghan fiso,https://daitadul56i2n.cloudfront.net/images/2025/9/26/13_meghan.jpg?width=80&quality=90
22,Lina Falk,Pepperdine Waves,G,6-2,Jr.,"Wolfenbüttel, Germany",UserTeam2,288.0,19.2,27.5,44.5,15.0,26.13,8.47,0.5,4.4,1.53,0.8,0.13,0.6,1.93,1.33,1.8,3.27,7.13,22.0,1.47,44.0,2.93,392.0,127.0,66.0,23.0,12.0,2.0,27.0,49.0,107.0,9.0,29.0,20.0,26.0,1.73,9.0,Sacramento State,lina falk,https://daitadul56i2n.cloudfront.net/images/2025/9/26/22_lina.jpg?width=80&quality=90
30,Seleh Harmon,Pepperdine Waves,G,5-10,Fr.,"Norman, OK",UserTeam1,252.0,14.82,37.5,56.5,17.0,23.18,7.65,0.5,1.59,1.47,0.59,0.24,1.88,5.06,0.24,1.18,2.76,7.41,6.0,0.35,21.0,1.24,394.0,130.0,27.0,25.0,10.0,4.0,20.0,47.0,126.0,32.0,86.0,4.0,5.0,0.29,10.0,,seleh harmon,https://daitadul56i2n.cloudfront.net/images/2025/9/26/30_seleh.jpg?width=80&quality=90
31,Irune Orio,Pepperdine Waves,F,6-2,Sr.,"Balmaseda, Spain",FreeAgent,78.0,5.57,33.0,109.5,14.0,12.21,2.5,0.298,2.36,0.93,0.07,0.14,0.07,1.36,0.71,0.86,0.86,3.0,8.0,0.57,25.0,1.79,171.0,35.0,33.0,13.0,1.0,2.0,12.0,12.0,42.0,1.0,19.0,10.0,11.0,0.79,10.0,Sacramento State / Xavier,irune orio,https://daitadul56i2n.cloudfront.net/images/2025/9/26/31_irune.jpg?width=80&quality=90
44,Zoe Shanahan,Pepperdine Waves,F,6-2,Fr.,"Melbourne, Australia",FreeAgent,19.0,2.11,44.0,139.0,9.0,4.78,1.56,0.5,0.78,0.44,0.11,0.0,0.0,0.11,0.44,1.33,0.56,1.11,3.0,0.33,4.0,0.44,43.0,14.0,7.0,4.0,1.0,0.0,12.0,5.0,10.0,0.0,1.0,4.0,4.0,0.44,6.0,,zoe shanahan,https://daitadul56i2n.cloudfront.net/images/2025/9/26/44_Zoe.jpg?width=80&quality=90
1,Paige Lofing,Gonzaga Bulldogs,G,5-9,Fr.,"Billings, MT",FreeAgent,29.0,2.23,83.0,132.0,13.0,5.0,1.38,0.5,0.46,0.15,0.08,0.08,0.38,0.85,0.23,0.62,0.38,1.15,0.0,0.0,6.0,0.46,65.0,18.0,6.0,2.0,1.0,1.0,8.0,5.0,15.0,5.0,11.0,3.0,4.0,0.31,10.0,,paige lofing,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/paige_lofing-2059.JPG?width=80&quality=90
